"Date" "Density" "Temp" "Time.Nodes"
"2002-01-07" "98345" "10.68" "0"
"2002-01-14" "113475" "10.61" "0.23013698630137"
"2002-04-08" "4539" "10.3" "2.99178082191781"
"2002-04-15" "5296" "10.38" "3.22191780821918"
"2002-04-22" "6052" "11.19" "3.45205479452055"
"2002-05-01" "2270" "10.71" "3.74794520547945"
"2002-05-07" "4539" "11.22" "3.94520547945206"
"2002-05-16" "15130" "11.81" "4.24109589041096"
"2002-07-29" "101371" "14.77" "6.67397260273973"
"2002-08-05" "66572" "16.13" "6.9041095890411"
"2002-08-12" "29504" "15.53" "7.13424657534247"
"2002-08-28" "12104" "15.96" "7.66027397260274"
"2002-09-02" "23452" "16.6" "7.82465753424658"
"2002-09-09" "12104" "16.76" "8.05479452054795"
"2002-09-16" "13617" "16.16" "8.28493150684931"
"2002-09-30" "18156" "16.09" "8.74520547945206"
"2002-11-04" "22040" "14.21" "9.8958904109589"
"2002-11-18" "12160" "13.2" "10.3561643835616"
"2002-11-25" "6460" "13.04" "10.586301369863"
"2003-01-06" "15130" "10.91" "11.9671232876712"
"2003-01-13" "9090" "9.68" "12.1972602739726"
"2003-02-03" "6060" "9.28" "12.8876712328767"
"2003-02-10" "12120" "8.86" "13.1178082191781"
"2003-02-17" "9090" "8.64" "13.3479452054795"
"2003-03-17" "24240" "8.99" "14.2684931506849"
"2003-03-31" "21210" "9.27" "14.7287671232877"
"2003-04-07" "3030" "9.25" "14.958904109589"
"2003-04-14" "6060" "8.96" "15.1890410958904"
"2003-05-12" "24208" "11.12" "16.1095890410959"
"2003-06-09" "175508" "14.01" "17.0301369863014"
"2003-06-16" "249645" "14.6" "17.2602739726027"
"2003-06-23" "157352" "13.97" "17.4904109589041"
"2003-06-30" "128605" "14.9" "17.7205479452055"
"2003-07-14" "69598" "15.97" "18.1808219178082"
"2003-07-21" "72624" "15.94" "18.4109589041096"
"2003-07-28" "77163" "16.56" "18.641095890411"
"2003-08-04" "204255" "14.33" "18.8712328767123"
"2003-08-11" "198203" "17.23" "19.1013698630137"
"2003-08-20" "63546" "17.85" "19.3972602739726"
"2003-08-27" "116501" "17.59" "19.627397260274"
"2003-09-02" "530250" "16.06" "19.8246575342466"
"2003-09-11" "281790" "16.87" "20.1205479452055"
"2003-09-15" "229976" "16.46" "20.2520547945206"
"2003-09-24" "52955" "16.53" "20.5479452054795"
"2003-09-29" "30260" "16.08" "20.7123287671233"
"2003-10-21" "15130" "15.2" "21.4356164383562"
"2003-10-27" "12120" "14.59" "21.6328767123288"
"2003-11-06" "1440" "14.24" "21.9616438356164"
"2003-11-10" "22695" "13.85" "22.0931506849315"
"2003-11-24" "6052" "13.12" "22.5534246575342"
"2004-01-21" "3026" "10.09" "24.4602739726027"
"2004-02-16" "6052" "10.05" "25.3150684931507"
"2004-03-01" "16643" "9.17" "25.7753424657534"
"2004-03-08" "16643" "9.02" "26.0054794520548"
"2004-03-29" "86241" "9.04" "26.6958904109589"
"2004-04-22" "96832" "10.12" "27.4849315068493"
"2004-04-26" "133144" "10.53" "27.6164383561644"
"2004-05-17" "62033" "11.9" "28.3068493150685"
"2004-05-24" "68085" "12.1" "28.5369863013699"
"2004-06-02" "6052" "13.78" "28.8328767123288"
"2004-06-07" "69598" "13.78" "28.9972602739726"
"2004-06-14" "71111" "14.85" "29.227397260274"
"2004-06-21" "55981" "13.49" "29.4575342465753"
"2004-07-06" "92293" "13.24" "29.9506849315068"
"2004-07-12" "69598" "15.46" "30.1479452054795"
"2004-08-02" "57494" "16.34" "30.8383561643836"
"2004-08-16" "18156" "17.89" "31.2986301369863"
"2004-08-25" "9078" "15.91" "31.5945205479452"
"2004-08-31" "6052" "15.86" "31.7917808219178"
"2004-09-06" "89267" "18.07" "31.9890410958904"
"2004-10-18" "10591" "14.05" "33.3698630136986"
"2004-10-26" "40851" "13.74" "33.6328767123288"
"2004-11-01" "24208" "13.68" "33.8301369863014"
"2004-11-09" "37825" "13.55" "34.0931506849315"
"2004-11-16" "28747" "13.01" "34.3232876712329"
"2004-11-23" "18156" "12.78" "34.5534246575342"
"2004-11-29" "12104" "12.69" "34.7506849315068"
"2004-12-06" "19669" "12.51" "34.9808219178082"
"2004-12-13" "19669" "12.22" "35.2109589041096"
"2004-12-20" "7565" "11.83" "35.441095890411"
"2005-01-06" "380" "11.83" "36"
"2005-01-24" "1634" "10.56" "36.5917808219178"
"2005-01-31" "3267" "10.56" "36.8219178082192"
"2005-02-28" "3267" "8.6" "37.7424657534247"
"2005-03-15" "16335" "8.45" "38.2356164383562"
"2005-03-21" "32671" "8.45" "38.4328767123288"
"2005-03-29" "6534" "8.87" "38.6958904109589"
"2005-04-04" "1634" "9.09" "38.8931506849315"
"2005-05-04" "16335" "10.18" "39.8794520547945"
"2005-05-09" "235230" "10.58" "40.0438356164384"
"2005-05-16" "49006" "10.49" "40.2739726027397"
"2005-05-25" "3267" "11.74" "40.5698630136986"
"2005-06-01" "19602" "11.89" "40.8"
"2005-06-13" "133950" "13.92" "41.1945205479452"
"2005-06-20" "98012" "11.57" "41.4246575342466"
"2005-06-27" "117615" "12.36" "41.6547945205479"
"2005-07-04" "39205" "15.98" "41.8849315068493"
"2005-07-11" "32671" "13.69" "42.1150684931507"
"2005-07-25" "26137" "13.85" "42.5753424657534"
"2005-08-08" "26137" "14.78" "43.0356164383562"
"2005-08-15" "22870" "15.92" "43.2657534246575"
"2005-09-19" "6534" "16.41" "44.4164383561644"
"2005-10-03" "17969" "15.57" "44.8767123287671"
"2005-10-10" "6534" "14.82" "45.1068493150685"
"2005-10-17" "26137" "15.21" "45.3369863013699"
"2005-11-15" "1634" "13.63" "46.2904109589041"
"2005-11-22" "9801" "13.21" "46.5205479452055"
"2005-11-28" "22870" "12.46" "46.7178082191781"
"2005-12-05" "9801" "11.96" "46.9479452054794"
"2005-12-19" "9801" "11.47" "47.4082191780822"
"2006-01-03" "19602" "10.62" "47.9013698630137"
"2006-01-09" "3267" "10.15" "48.0986301369863"
"2006-01-23" "6534" "9.8" "48.558904109589"
"2006-02-06" "19602" "8.73" "49.0191780821918"
"2006-02-27" "6878" "7.94" "49.7095890410959"
"2006-03-06" "6534" "7.52" "49.9397260273973"
"2006-03-20" "6534" "7.43" "50.4"
"2006-03-29" "35938" "7.79" "50.6958904109589"
"2006-04-03" "3267" "8.33" "50.8602739726027"
"2006-05-04" "26137" "9.91" "51.8794520547945"
"2006-05-08" "6534" "9.91" "52.0109589041096"
